title,magnitude,date,time,cdi,mmi,alert,tsunami,sig,dmin,gap,depth,latitude,longitude,location,continent,country
M 7.8,7.8,22/07/2020,6:12:00 AM,9,7,green,1,1111,0.621,60,28,55.1079,-158.477,Perryville- Alaska,North America,USA
M 7.0,7,17/07/2020,2:50:00 AM,6,7,green,1,820,1.671,18,73,-7.847,147.755,Popondetta- Papua New Guinea,Oceania,Papua New Guinea
M 6.6,6.6,6/7/2020,10:54:00 AM,4,2,green,0,684,1.458,14,533.76,-5.6368,110.678,Batang- Indonesia,Asia,Indonesia
M 7.4,7.4,23/06/2020,3:29:00 PM,8,8,orange,1,1494,0.151,30,20,15.9163,-95.9533,Santa María Xadani- Mexico,North America,Mexico
M 7.4,7.4,18/06/2020,12:49:00 PM,7,7,green,1,873,4.035,23,10,-33.2938,-177.838,the Kermadec Islands,Oceania,New Zealand
M 6.6,6.6,13/06/2020,3:51:00 PM,5,4,green,1,734,2.015,18,165,28.9386,128.262,Naze- Japan,Asia,Japan
M 6.8,6.8,3/6/2020,7:35:00 AM,6,6,green,1,835,1.164,21,112,-23.2966,-68.4204,San Pedro de Atacama- Chile,South America,Chile
M 6.5,6.5,15/05/2020,11:03:00 AM,7,8,green,0,1320,0.357,55.79,2.7,38.1689,-117.85,Monte Cristo Range- NV Earthquake,North America,USA
M 6.6,6.6,12/5/2020,10:41:00 AM,4,6,green,1,671,3.403,12,107,-12.0662,166.648,Lata- Solomon Islands,Oceania,Solomon Islands
M 6.8,6.8,6/5/2020,1:53:00 AM,4,6,green,0,738,1.921,16,96,-6.7762,129.785,Banda Sea,Asia,Indonesia
M 6.5,6.5,2/5/2020,12:51:00 PM,7,6,green,0,678,1.293,19,10,34.1818,25.7101,Néa Anatolí- Greece,Europe,Greece
M 6.5,6.5,31/03/2020,11:52:00 PM,8,8,green,0,1410,0.885,31,12.06,44.4646,-115.118,Stanley- Idaho,North America,USA
M 7.5,7.5,25/03/2020,2:49:00 AM,6,5,green,1,879,4.109,12,57.8,48.9638,157.695,Severo-Kuril?sk- Russia,Asia,Russia
M 7.0,7,13/02/2020,10:33:00 AM,5,6,yellow,1,770,4.501,25,143,45.6161,148.959,Kuril?sk- Russia,Asia,Russia
M 7.7,7.7,28/01/2020,7:10:00 PM,9,6,yellow,1,1812,1.657,26,14.86,19.4193,-78.756,Lucea- Jamaica,Central America,Jamaica
M 6.7,6.7,24/01/2020,5:55:00 PM,8,9,orange,0,1247,0.87,49,10,38.4312,39.0609,Do?anyol- Turkey,Asia,Turkey
M 6.8,6.8,15/12/2019,6:11:00 AM,9,7,yellow,1,825,0.546,39,18,6.6969,125.174,Magsaysay- Philippines,Asia,Philippines
M 7.1,7.1,14/11/2019,4:17:00 PM,6,6,green,1,799,1.271,11,33,1.6213,126.416,Bitung- Indonesia,Asia,Indonesia
M 6.5,6.5,8/11/2019,10:44:00 AM,0,2,green,0,650,4.765,25,577,-21.9449,-179.511,Ndoi Island- Fiji,Oceania,Fiji
M 6.6,6.6,4/11/2019,10:43:00 AM,4,4,green,1,673,5.086,48,10,-18.5747,-175.272,Neiafu- Tonga,Oceania,Tonga
M 6.5,6.5,31/10/2019,1:11:00 AM,9,7,green,1,733,0.428,19,10,6.9098,125.178,Kisante- Philippines,Asia,Philippines
M 6.6,6.6,29/10/2019,1:04:00 AM,9,7,yellow,1,780,0.646,24,15,6.7567,125.008,Columbio- Philippines,Asia,Philippines
M 6.7,6.7,29/09/2019,3:57:00 PM,7,6,green,1,844,1.269,98,11,-35.4758,-73.163,Constitución- Chile,South America,Chile
M 6.5,6.5,25/09/2019,11:46:00 PM,7,7,yellow,1,656,3.909,15,12.26,-3.4528,128.37,Kairatu- Indonesia,Asia,Indonesia
M 6.6,6.6,1/9/2019,3:54:00 AM,2,3,green,1,671,4.121,19,591,-20.3641,-178.57,Ndoi Island- Fiji,Oceania,Fiji
M 6.6,6.6,27/08/2019,11:55:00 PM,0,4,green,1,670,12.896,19,16,-60.2152,-26.5801,Bristol Island- South Sandwich Islands,Europe,United Kingdom
M 6.9,6.9,2/8/2019,12:03:00 PM,4,6,green,0,875,2.839,23,49,-7.2822,104.791,Labuan- Indonesia,Asia,Indonesia
M 6.8,6.8,1/8/2019,6:28:00 AM,6,6,green,1,947,0.817,35,25,-34.2364,-72.3102,San Antonio- Chile,South America,Chile
M 6.6,6.6,31/07/2019,3:02:00 PM,0,4,green,1,670,6.024,30,181,-16.1985,167.998,Lakatoro- Vanuatu,Oceania,Vanuatu
